pos	id	title	duration_s	words	sentences	wps	backchannel_per_1k	speakers	verdict	provenance
1275	nyfD_bgnsG0	Sydney Maker Faire 2013 - Behind The Scenes	1394	3326	2	1663.0	0.0	solo	needs-whisper	whisper-large-v3
1276	E-YspiURsBc	Sydney Maker Faire 2013 - Robo Dino Time-lapse	86	0	0	0	0.0	unknown	no-captions	whisper-large-v3
1277	_BnOsgeFkYA	Sydney Maker Fair 2013 - Time-lapse Turbine Hall	34	0	0	0	0.0	unknown	no-captions	whisper-large-v3
1278	0ifbVLZBOMs	The Dish - Parkes Radio Telescope	145	0	0	0	0.0	unknown	no-captions	whisper-large-v3
1279	RIqUGwAzZI0	OpenROV - Open Source Underwater Robot - Sydney Maker Faire 2013	399	1077	0	1077.0	0.0	solo	needs-whisper	whisper-large-v3
1280	icHSkvt3yk8	Sydney Robot Workshop - R2-D2 - Sydney Maker Faire 2013	378	949	0	949.0	0.0	solo	needs-whisper	whisper-large-v3
1281	lPlgHsyjn6k	James Meigs Presentation - Devcon 2010	2108	6513	2	3256.5	0.0	solo	needs-whisper	whisper-large-v3
1282	GaMpbx8kMbU	Shuttle PC Rebuild	369	992	7	141.7	0.0	solo	needs-whisper	whisper-large-v3
1283	-xX2kK-RmQU	Hack A Day Prize Interview	1102	3448	0	3448.0	0.0	solo	needs-whisper	whisper-large-v3
1284	T9cMjpCFioQ	Outtake from EEVblog #626	24	30	0	30.0	0.0	solo	needs-whisper	whisper-large-v3
1285	h114siAxzOU	Tagarno Microscope Capture Test	86	179	0	179.0	0.0	solo	needs-whisper	whisper-large-v3
1286	lmGS50kXalg	SolarInstallationTimeLapse	127	2	0	2.0	0.0	solo	needs-whisper	whisper-large-v3
1287	gqzZHbEfWDU	KoradFollowup Charles	847	1931	10	193.1	0.0	solo	needs-whisper	whisper-large-v3
1288	qod7axjK06w	ElectronexStandSetup 1280x720	220	7	0	7.0	0.0	solo	needs-whisper	whisper-large-v3
1289	ulSTHy5kItM	$140K Agilent Oscilloscope Unboxing	197	378	0	378.0	0.0	solo	needs-whisper	whisper-large-v3
